Marca,Modelo,Motor,Componente,Mínimo,Máximo,Max_capacidade,Unidade
Opel,Astra J,1.4 Turbo,Bateria (Ah),60,70,70,Ah
Opel,Astra J,1.4 Turbo,Líquido de Arrefecimento (litros),5.5,7,10,L
Opel,Astra J,1.4 Turbo,Óleo do Motor (litros),4,4.5,8,L
Opel,Astra J,1.4 Turbo,Fluido de Travão (litros),0.5,1,1.2,L
Opel,Astra J,1.4 Turbo,Fluido de Transmissão (litros),1.8,2.5,3,L
Opel,Astra J,1.4 Turbo,Motor de Arranque (kW),1.2,1.2,3,kW
Opel,Astra J,1.6 CDTi,Bateria (Ah),65,75,75,Ah
Opel,Astra J,1.6 CDTi,Líquido de Arrefecimento (litros),6,8,10,L
Opel,Astra J,1.6 CDTi,Óleo do Motor (litros),4.5,5,8,L
Opel,Astra J,1.6 CDTi,Fluido de Travão (litros),0.6,1,1.2,L
Opel,Astra J,1.6 CDTi,Fluido de Transmissão (litros),2,2.5,3,L
Opel,Astra J,1.6 CDTi,Motor de Arranque (kW),1.4,1.4,3,kW
Opel,Astra J,2.0 CDTi,Bateria (Ah),70,80,80,Ah
Opel,Astra J,2.0 CDTi,Líquido de Arrefecimento (litros),6.5,9,10,L
Opel,Astra J,2.0 CDTi,Óleo do Motor (litros),5,5.5,8,L
Opel,Astra J,2.0 CDTi,Fluido de Travão (litros),0.7,1,1.2,L
Opel,Astra J,2.0 CDTi,Fluido de Transmissão (litros),2,2.5,3,L
Opel,Astra J,2.0 CDTi,Motor de Arranque (kW),1.6,1.6,3,kW
Opel,Corsa E,1.2 Ecotec,Bateria (Ah),50,60,60,Ah
Opel,Corsa E,1.2 Ecotec,Líquido de Arrefecimento (litros),5.5,7,10,L
Opel,Corsa E,1.2 Ecotec,Óleo do Motor (litros),3.5,4,8,L
Opel,Corsa E,1.2 Ecotec,Fluido de Travão (litros),0.5,0.8,1.2,L
Opel,Corsa E,1.2 Ecotec,Fluido de Transmissão (litros),1.6,2.3,3,L
Opel,Corsa E,1.2 Ecotec,Motor de Arranque (kW),1.1,1.1,3,kW
Opel,Corsa E,1.4 Ecotec,Bateria (Ah),55,65,65,Ah
Opel,Corsa E,1.4 Ecotec,Líquido de Arrefecimento (litros),6,8,10,L
Opel,Corsa E,1.4 Ecotec,Óleo do Motor (litros),4,4.5,8,L
Opel,Corsa E,1.4 Ecotec,Fluido de Travão (litros),0.5,0.9,1.2,L
Opel,Corsa E,1.4 Ecotec,Fluido de Transmissão (litros),1.8,2.4,3,L
Opel,Corsa E,1.4 Ecotec,Motor de Arranque (kW),1.3,1.3,3,kW
Opel,Insignia B,1.5 Turbo,Bateria (Ah),70,80,80,Ah
Opel,Insignia B,1.5 Turbo,Líquido de Arrefecimento (litros),7,9,10,L
Opel,Insignia B,1.5 Turbo,Óleo do Motor (litros),4.5,5,8,L
Opel,Insignia B,1.5 Turbo,Fluido de Travão (litros),0.7,1,1.2,L
Opel,Insignia B,1.5 Turbo,Fluido de Transmissão (litros),2,2.5,3,L
Opel,Insignia B,1.5 Turbo,Motor de Arranque (kW),1.5,1.5,3,kW
Opel,Insignia B,2.0 CDTi,Bateria (Ah),75,85,85,Ah
Opel,Insignia B,2.0 CDTi,Líquido de Arrefecimento (litros),7.5,9.5,10,L
Opel,Insignia B,2.0 CDTi,Óleo do Motor (litros),5,5.5,8,L
Opel,Insignia B,2.0 CDTi,Fluido de Travão (litros),0.8,1,1.2,L
Opel,Insignia B,2.0 CDTi,Fluido de Transmissão (litros),2.2,2.8,3,L
Opel,Insignia B,2.0 CDTi,Motor de Arranque (kW),1.7,1.7,3,kW
Peugeot,208 II,1.2 PureTech,Bateria (Ah),50,60,60,Ah
Peugeot,208 II,1.2 PureTech,Líquido de Arrefecimento (litros),6.5,8,10,L
Peugeot,208 II,1.2 PureTech,Óleo do Motor (litros),3.5,4,8,L
Peugeot,208 II,1.2 PureTech,Fluido de Travão (litros),0.5,0.8,1.2,L
Peugeot,208 II,1.2 PureTech,Fluido de Transmissão (litros),1.6,2.2,3,L
Peugeot,208 II,1.2 PureTech,Motor de Arranque (kW),1.2,1.2,3,kW
Peugeot,208 II,1.5 BlueHDi,Bateria (Ah),55,65,65,Ah
Peugeot,208 II,1.5 BlueHDi,Líquido de Arrefecimento (litros),6.5,8.5,10,L
Peugeot,208 II,1.5 BlueHDi,Óleo do Motor (litros),4,4.5,8,L
Peugeot,208 II,1.5 BlueHDi,Fluido de Travão (litros),0.6,0.9,1.2,L
Peugeot,208 II,1.5 BlueHDi,Fluido de Transmissão (litros),1.8,2.4,3,L
Peugeot,208 II,1.5 BlueHDi,Motor de Arranque (kW),1.4,1.4,3,kW
Peugeot,308 II,1.2 PureTech,Bateria (Ah),60,70,70,Ah
Peugeot,308 II,1.2 PureTech,Líquido de Arrefecimento (litros),6,8,10,L
Peugeot,308 II,1.2 PureTech,Óleo do Motor (litros),4,4.5,8,L
Peugeot,308 II,1.2 PureTech,Fluido de Travão (litros),0.6,0.9,1.2,L
Peugeot,308 II,1.2 PureTech,Fluido de Transmissão (litros),1.8,2.3,3,L
Peugeot,308 II,1.2 PureTech,Motor de Arranque (kW),1.3,1.3,3,kW
Peugeot,308 II,1.6 BlueHDi,Bateria (Ah),65,75,75,Ah
Peugeot,308 II,1.6 BlueHDi,Líquido de Arrefecimento (litros),6.5,8.5,10,L
Peugeot,308 II,1.6 BlueHDi,Óleo do Motor (litros),4.5,5,8,L
Peugeot,308 II,1.6 BlueHDi,Fluido de Travão (litros),0.7,1,1.2,L
Peugeot,308 II,1.6 BlueHDi,Fluido de Transmissão (litros),2,2.5,3,L
Peugeot,308 II,1.6 BlueHDi,Motor de Arranque (kW),1.5,1.5,3,kW
Peugeot,3008 II,1.6 PureTech,Bateria (Ah),70,80,80,Ah
Peugeot,3008 II,1.6 PureTech,Líquido de Arrefecimento (litros),7,9,10,L
Peugeot,3008 II,1.6 PureTech,Óleo do Motor (litros),4.5,5,8,L
Peugeot,3008 II,1.6 PureTech,Fluido de Travão (litros),0.7,1,1.2,L
Peugeot,3008 II,1.6 PureTech,Fluido de Transmissão (litros),2,2.5,3,L
Peugeot,3008 II,1.6 PureTech,Motor de Arranque (kW),1.6,1.6,3,kW
Peugeot,3008 II,2.0 BlueHDi,Bateria (Ah),75,85,85,Ah
Peugeot,3008 II,2.0 BlueHDi,Líquido de Arrefecimento (litros),7.5,9.5,10,L
Peugeot,3008 II,2.0 BlueHDi,Óleo do Motor (litros),5,5.5,8,L
Peugeot,3008 II,2.0 BlueHDi,Fluido de Travão (litros),0.8,1,1.2,L
Peugeot,3008 II,2.0 BlueHDi,Fluido de Transmissão (litros),2.2,2.8,3,L
Peugeot,3008 II,2.0 BlueHDi,Motor de Arranque (kW),1.7,1.7,3,kW
Peugeot,508 II,1.6 PureTech,Bateria (Ah),70,80,80,Ah
Peugeot,508 II,1.6 PureTech,Líquido de Arrefecimento (litros),7,9,10,L
Peugeot,508 II,1.6 PureTech,Óleo do Motor (litros),4.5,5,8,L
Peugeot,508 II,1.6 PureTech,Fluido de Travão (litros),0.7,1,1.2,L
Peugeot,508 II,1.6 PureTech,Fluido de Transmissão (litros),2,2.5,3,L
Peugeot,508 II,1.6 PureTech,Motor de Arranque (kW),1.6,1.6,3,kW
Peugeot,508 II,1.5 BlueHDi,Bateria (Ah),75,85,85,Ah
Peugeot,508 II,1.5 BlueHDi,Líquido de Arrefecimento (litros),7.5,9.5,10,L
Peugeot,508 II,1.5 BlueHDi,Óleo do Motor (litros),5,5.5,8,L
Peugeot,508 II,1.5 BlueHDi,Fluido de Travão (litros),0.8,1,1.2,L
Peugeot,508 II,1.5 BlueHDi,Fluido de Transmissão (litros),2.2,2.8,3,L
Peugeot,508 II,1.5 BlueHDi,Motor de Arranque (kW),1.7,1.7,3,kW
Opel,Crossland X,1.2 Turbo,Bateria (Ah),60,70,70,Ah
Opel,Crossland X,1.2 Turbo,Líquido de Arrefecimento (litros),6,8,10,L
Opel,Crossland X,1.2 Turbo,Óleo do Motor (litros),3.5,4,8,L
Opel,Crossland X,1.2 Turbo,Fluido de Travão (litros),0.6,0.9,1.2,L
Opel,Crossland X,1.2 Turbo,Fluido de Transmissão (litros),1.8,2.5,3,L
Opel,Crossland X,1.2 Turbo,Motor de Arranque (kW),1.3,1.3,3,kW
Opel,Crossland X,1.5 Diesel,Bateria (Ah),65,75,75,Ah
Opel,Crossland X,1.5 Diesel,Líquido de Arrefecimento (litros),6.5,8.5,10,L
Opel,Crossland X,1.5 Diesel,Óleo do Motor (litros),4,4.5,8,L
Opel,Crossland X,1.5 Diesel,Fluido de Travão (litros),0.6,1,1.2,L
Opel,Crossland X,1.5 Diesel,Fluido de Transmissão (litros),2,2.5,3,L
