Marca,Modelo,Motor,Componente,Mínimo,Máximo,Max_capacidade,Unidade
Opel,Astra J,1.4 Turbo,Bateria ,60,70,70,Ah
Opel,Astra J,1.4 Turbo,Líquido de Arrefecimento ,5.5,7,10,Litros
Opel,Astra J,1.4 Turbo,Óleo do Motor ,4,4.5,8,Litros
Opel,Astra J,1.4 Turbo,Fluido de Travão ,0.5,1,1.2,Litros
Opel,Astra J,1.4 Turbo,Fluido de Transmissão ,1.8,2.5,3,Litros
Opel,Astra J,1.4 Turbo,Motor de Arranque ,1.2,1.2,3,kW
Opel,Astra J,1.6 CDTi,Bateria ,65,75,75,Ah
Opel,Astra J,1.6 CDTi,Líquido de Arrefecimento ,6,8,10,Litros
Opel,Astra J,1.6 CDTi,Óleo do Motor ,4.5,5,8,Litros
Opel,Astra J,1.6 CDTi,Fluido de Travão ,0.6,1,1.2,Litros
Opel,Astra J,1.6 CDTi,Fluido de Transmissão ,2,2.5,3,Litros
Opel,Astra J,1.6 CDTi,Motor de Arranque ,1.4,1.4,3,kW
Opel,Astra J,2.0 CDTi,Bateria ,70,80,80,Ah
Opel,Astra J,2.0 CDTi,Líquido de Arrefecimento ,6.5,9,10,Litros
Opel,Astra J,2.0 CDTi,Óleo do Motor ,5,5.5,8,Litros
Opel,Astra J,2.0 CDTi,Fluido de Travão ,0.7,1,1.2,Litros
Opel,Astra J,2.0 CDTi,Fluido de Transmissão ,2,2.5,3,Litros
Opel,Astra J,2.0 CDTi,Motor de Arranque ,1.6,1.6,3,kW
Opel,Corsa E,1.2 Ecotec,Bateria ,50,60,60,Ah
Opel,Corsa E,1.2 Ecotec,Líquido de Arrefecimento ,5.5,7,10,Litros
Opel,Corsa E,1.2 Ecotec,Óleo do Motor ,3.5,4,8,Litros
Opel,Corsa E,1.2 Ecotec,Fluido de Travão ,0.5,0.8,1.2,Litros
Opel,Corsa E,1.2 Ecotec,Fluido de Transmissão ,1.6,2.3,3,Litros
Opel,Corsa E,1.2 Ecotec,Motor de Arranque ,1.1,1.1,3,kW
Opel,Corsa E,1.4 Ecotec,Bateria ,55,65,65,Ah
Opel,Corsa E,1.4 Ecotec,Líquido de Arrefecimento ,6,8,10,Litros
Opel,Corsa E,1.4 Ecotec,Óleo do Motor ,4,4.5,8,Litros
Opel,Corsa E,1.4 Ecotec,Fluido de Travão ,0.5,0.9,1.2,Litros
Opel,Corsa E,1.4 Ecotec,Fluido de Transmissão ,1.8,2.4,3,Litros
